playerId,name,seedKey,sourceClub,sourcePosition,birthDate
"cmtr671hs00ep33ynrw3x3k3e","Abbos Ergashboev","UZ1-2026-PAKHTAKO-028","Pakhtakor Tashkent","FW",""
"cmtr671dv007933yneay5fec0","Abbos Shodmonov","UZ1-2026-MASHALMU-011","Mashal Muborak","MF",""
"cmtr671k900lh33yn40rk5jdn","Abdul Aziz Yusupov","UZ1-2026-LOKOMOTI-043","Lokomotiv Tashkent","FW",""
"cmtr671eb008f33yn7koxxljv","Adkhamjon Musulmonov","UZ1-2026-NASAFQAR-007","Nasaf Qarshi","GK",""
"cmtr671d0005j33yn9vkh4as2","Akbar Abdirasulov","UZ1-2026-DINAMOSA-009","Dinamo Samarkand","DF",""
"cmtr671ay001p33yneg7h3wrw","Akmal Holmatov","UZ1-2026-ANDIJON-004","Andijon","MF",""
"cmtr671c2003d33yn9435s81v","Akmal Shorakhmedov","UZ1-2026-BUNYODKO-006","Bunyodkor Tashkent","DF",""
"cmtr671dz007j33yn9dwqxmb1","Akram Bahriddinov","UZ1-2026-MASHALMU-016","Mashal Muborak","MF",""
"cmtr6719y000733ynr7uk2dvb","Akramjon Komilov","UZ1-2026-AGMK-004","AGMK","DF",""
"cmtr671h300db33ynezrbina6","Albert Nurullayev","UZ1-2026-NEFTCHIF-035","Neftchi Fergana","FW",""
"cmtr671cb003x33ynlnrzd2cj","Aleksandar Alempijevic","UZ1-2026-BUNYODKO-016","Bunyodkor Tashkent","MF",""
"cmtr671f500ad33ynsdyayqn2","Aleksandr Lobanov","UZ1-2026-NAVBAHOR-002","Navbahor Namangan","GK",""
"cmtr671ce004533yned98y2fs","Alibobo Rakhmatullaev","UZ1-2026-BUNYODKO-020","Bunyodkor Tashkent","MF",""
"cmtr671fi00av33yncopit85p","Alijon Alijonov","UZ1-2026-NAVBAHOR-012","Navbahor Namangan","DF",""
"cmtr671ka00ll33yn173dbbgk","Alisher Shogulyamov","UZ1-2026-LOKOMOTI-045","Lokomotiv Tashkent","FW",""
"cmtr671i100ff33ynf2gv0lcw","Alisher Shukurov","UZ1-2026-QIZILQUM-011","Qizilqum Zarafshon","MF",""
"cmtr671h200d733ynwws0lxno","Amirbek Berdiyev","UZ1-2026-NEFTCHIF-033","Neftchi Fergana","FW",""
"cmtr671c1003b33ynk606zypb","Anvar Gafurov","UZ1-2026-BUNYODKO-005","Bunyodkor Tashkent","DF",""
"cmtr671am001733yn3hx8qd0r","Asadbek Akhmadjonov","UZ1-2026-AGMK-022","AGMK","MF",""
"cmtr671e4007v33ynmtf3upr9","Asadbek Samariddinov","UZ1-2026-MASHALMU-023","Mashal Muborak","FW",""
"cmtr671ai000x33ynst0hhr5x","Asadbek Sobirjonov","UZ1-2026-AGMK-017","AGMK","MF",""
"cmtr671e4007x33yndrigf5ex","Asilbek Obidov","UZ1-2026-MASHALMU-024","Mashal Muborak","FW",""
"cmtr671gy00d133ynvzwubv9m","Asilbek To'xtasinov","UZ1-2026-NEFTCHIF-028","Neftchi Fergana","MF",""
"cmtr671er009j33yngr4gawia","Asliddin Tursunpulatov","UZ1-2026-NASAFQAR-028","Nasaf Qarshi","MF",""
"cmtr671ii00gr33ynihyijvqq","Avazxon Mamatxojaev","UZ1-2026-KOKAND19-021","Kokand 1912","MF",""
"cmtr671fn00b733ynjw5ci7jz","Azimjon Akhmedov","UZ1-2026-NAVBAHOR-018","Navbahor Namangan","MF",""
"cmtr671be002h33yngigx7yc6","Aziz Ibragimov","UZ1-2026-BUXORO-004","Buxoro","MF",""
"cmtr671gp00cn33ynul0xmeus","Azizbek Erimbetov","UZ1-2026-NEFTCHIF-018","Neftchi Fergana","MF",""
"cmtr671jx00kf33ynp5brcexx","Azizbek Haydarov","UZ1-2026-LOKOMOTI-024","Lokomotiv Tashkent","MF",""
"cmtr671ij00gv33yndg8r4ro0","Bahodir Pardaev","UZ1-2026-KOKAND19-023","Kokand 1912","FW",""
"cmtr671ef008r33yntmfju0no","Bakhodir Khalilov","UZ1-2026-NASAFQAR-014","Nasaf Qarshi","DF",""
"cmtr671eu009r33yn2jx3dg2i","Bakhrom Abdurakhimov","UZ1-2026-NASAFQAR-034","Nasaf Qarshi","MF",""
"cmtr671am001533ynq0pj8a42","Bakhtierjon Kosimov","UZ1-2026-AGMK-021","AGMK","MF",""
"cmtr671di006j33ynftde8qq6","Bektemir Abdumannonov","UZ1-2026-DINAMOSA-029","Dinamo Samarkand","FW",""
"cmtr671k000kn33ynoqx83c9y","Bobur Ergashev","UZ1-2026-LOKOMOTI-028","Lokomotiv Tashkent","MF",""
"cmtr671ca003v33ynwbqa8gun","Bobur Farhodov","UZ1-2026-BUNYODKO-015","Bunyodkor Tashkent","MF",""
"cmtr671ca003t33yn4lszitqq","Chaker Zouaghi","UZ1-2026-BUNYODKO-014","Bunyodkor Tashkent","MF",""
"cmtr671h000d333yn2p7vsi61","Daler Tuxsanov","UZ1-2026-NEFTCHIF-030","Neftchi Fergana","FW",""
"cmtr671fe00an33ynktp0mdfq","Davron Khashimov","UZ1-2026-NAVBAHOR-007","Navbahor Namangan","DF",""
"cmtr671fr00bh33yny5lp04y8","Davronbek Olimzhonov","UZ1-2026-NAVBAHOR-024","Navbahor Namangan","MF",""
"cmtr671c9003r33yn8uo5frkv","Davronbek Umirov","UZ1-2026-BUNYODKO-013","Bunyodkor Tashkent","DF",""
"cmtr671c0003733yn38yfmldu","Dilshod Khamraev","UZ1-2026-BUNYODKO-003","Bunyodkor Tashkent","GK",""
"cmtr6719w000333ynt3cb7fqk","Dilshod Yokubov","UZ1-2026-AGMK-002","AGMK","GK",""
"cmtr671k400kz33ynq33mi1b9","Diyor Turopov","UZ1-2026-LOKOMOTI-034","Lokomotiv Tashkent","MF",""
"cmtr671k800lf33ynplrltvfp","Donier Usmanov","UZ1-2026-LOKOMOTI-042","Lokomotiv Tashkent","FW",""
"cmtr671fp00bd33yntj2nu5mz","Doston Abdulkhaev","UZ1-2026-NAVBAHOR-022","Navbahor Namangan","MF",""
"cmtr671gg00cd33yn4776pdi8","Elsevarbek Olimov","UZ1-2026-NEFTCHIF-008","Neftchi Fergana","DF",""
"cmtr671db006533ynpepk067u","Farrukh Ikramov","UZ1-2026-DINAMOSA-021","Dinamo Samarkand","MF",""
"cmtr671j700il33ynskm17nrv","Fejsal Mulic","UZ1-2026-SOGDIANA-026","Sogdiana Jizzakh","FW",""
"cmtr671gx00cz33yn7qhsxcwv","Francisco Jurani","UZ1-2026-NEFTCHIF-027","Neftchi Fergana","MF",""
"cmtr671fy00bv33yn5r7yvqet","Giorgi Nikabadze","UZ1-2026-NAVBAHOR-031","Navbahor Namangan","FW",""
"cmtr671f600af33ynb3k1m5kt","Hurshid Huzaev","UZ1-2026-NAVBAHOR-003","Navbahor Namangan","GK",""
"cmtr671gr00cp33yngs7q8exv","Husanboy Umirzoqov","UZ1-2026-NEFTCHIF-020","Neftchi Fergana","MF",""
"cmtr671k400l133ynse4x0ksz","Ibrahim Rakhimov","UZ1-2026-LOKOMOTI-035","Lokomotiv Tashkent","MF",""
"cmtr671ka00lj33yns1bfup4l","Idris Bikmaykin","UZ1-2026-LOKOMOTI-044","Lokomotiv Tashkent","FW",""
"cmtr671f400ab33yndq4wh7hx","Ignatiy Nesterov","UZ1-2026-NAVBAHOR-001","Navbahor Namangan","GK",""
"cmtr671cp004r33yn8hxfvcdb","Igor Taran","UZ1-2026-BUNYODKO-032","Bunyodkor Tashkent","FW",""
"cmtr671ih00gp33ynesrreew2","Ikboldzhon Malikdzhonov","UZ1-2026-KOKAND19-020","Kokand 1912","MF",""
"cmtr671a5000f33ynapo8rk2y","Iskandar Businov","UZ1-2026-AGMK-008","AGMK","DF",""
"cmtr671e0007l33yn6kinyybw","Iskandar Shoikulov","UZ1-2026-MASHALMU-017","Mashal Muborak","MF",""
"cmtr671i900g133ynpwui8lv2","Islam Abdullaev","UZ1-2026-KOKAND19-004","Kokand 1912","GK",""
"cmtr671dt007333yn6o7e89gb","Islom Sharipov","UZ1-2026-MASHALMU-008","Mashal Muborak","MF",""
"cmtr671ie00gf33yn1wxuecaz","Ivan Josovic","UZ1-2026-KOKAND19-013","Kokand 1912","DF",""
"cmtr671eu009p33ynelhhvq5d","Ivan Solovyov","UZ1-2026-NASAFQAR-033","Nasaf Qarshi","MF",""
"cmtr671ke00lz33yn5us3u1l5","Izzatov","UZ1-2026-XORAZMUR-002","Xorazm Urganch","MF",""
"cmtr671jn00jn33yn1h60rrej","Jahongir Hoshimboyev","UZ1-2026-LOKOMOTI-009","Lokomotiv Tashkent","GK",""
"cmtr671a5000h33ynoxm2mwb6","Jakhongir Fazilov","UZ1-2026-AGMK-009","AGMK","DF",""
"cmtr671cw005933ynjm2jzf0c","Jakhongir Urozov","UZ1-2026-DINAMOSA-004","Dinamo Samarkand","CB","2004-01-18"
"cmtr671hx00f533yn3ct2jhhw","Jambul Jigauri","UZ1-2026-QIZILQUM-006","Qizilqum Zarafshon","MF",""
"cmtr671c8003p33ynbuek7b7b","Javlon Mirabdullaev","UZ1-2026-BUNYODKO-012","Bunyodkor Tashkent","DF",""
"cmtr671cq004v33yn6claxw07","Javokhir Esonkulov","UZ1-2026-BUNYODKO-034","Bunyodkor Tashkent","FW",""
"cmtr671ek009133yn5v9tblw0","Javokhir Utamurodov","UZ1-2026-NASAFQAR-019","Nasaf Qarshi","DF",""
"cmtr671jw00kd33ynxw8m7v3y","Kakha Makharadze","UZ1-2026-LOKOMOTI-023","Lokomotiv Tashkent","MF",""
"cmtr671k500l333ynpuk0hgf7","Karen Abramov","UZ1-2026-LOKOMOTI-036","Lokomotiv Tashkent","MF",""
"cmtr671c5003h33yn7084si0d","Khasan Askarov","UZ1-2026-BUNYODKO-008","Bunyodkor Tashkent","DF",""
"cmtr671dw007b33ynb8vgf5os","Khudoyorkhon Sagdullaev","UZ1-2026-MASHALMU-012","Mashal Muborak","MF",""
"cmtr671ju00k733ynxkj7e0kk","Khudoyshukur Sattorov","UZ1-2026-LOKOMOTI-019","Lokomotiv Tashkent","DF",""
"cmtr671hl00e733ynh89nazps","Kimi Merk","UZ1-2026-PAKHTAKO-018","Pakhtakor Tashkent","MF",""
"cmtr671k200kt33yn2plzq0i3","Lazizbek Mirzaev","UZ1-2026-LOKOMOTI-031","Lokomotiv Tashkent","MF",""
"cmtr671i500fp33yntv4z9xyj","Luka Ratkovic","UZ1-2026-QIZILQUM-017","Qizilqum Zarafshon","FW",""
"cmtr671ha00dr33yn7evtnl6g","Makhmud Makhamadzhonov","UZ1-2026-PAKHTAKO-009","Pakhtakor Tashkent","DF",""
"cmtr671jg00j933ynket3x9e6","Mamur Ikramov","UZ1-2026-LOKOMOTI-001","Lokomotiv Tashkent","GK",""
"cmtr671k500l533yn0ge7gucz","Marat Bikmaev","UZ1-2026-LOKOMOTI-037","Lokomotiv Tashkent","MF",""
"cmtr671kl00m933ynqttriznr","Marsiano Roki","UZ1-2026-XORAZMUR-007","Xorazm Urganch","FW",""
"cmtr671ed008l33ynzw653yth","Mashkhyrbek Abdusoliev","UZ1-2026-NASAFQAR-010","Nasaf Qarshi","DF",""
"cmtr671cy005f33ynha4c0bfo","Mihailo Jovanovic","UZ1-2026-DINAMOSA-007","Dinamo Samarkand","DF",""
"cmtr671cn004l33ynp76xme9o","Miraziz Jalolov","UZ1-2026-BUNYODKO-029","Bunyodkor Tashkent","FW",""
"cmtr671gh00cf33yng70ue6xm","Mirjalol Abdurahimov","UZ1-2026-NEFTCHIF-009","Neftchi Fergana","DF",""
"cmtr671b0001t33ynf7wkhukg","Mirzakamol Kamalov","UZ1-2026-ANDIJON-006","Andijon","MF",""
"cmtr671cf004733ynaz18csaf","Mirzokhid Gofurov","UZ1-2026-BUNYODKO-021","Bunyodkor Tashkent","MF",""
"cmtr671e6008133yn22191eet","Muiddin Mamazulunov","UZ1-2026-MASHALMU-026","Mashal Muborak","FW",""
"cmtr671hz00fb33ynqfhbcevx","Mukhammadaziz Ibrakhimov","UZ1-2026-QIZILQUM-009","Qizilqum Zarafshon","MF",""
"cmtr671kl00mb33yny139prou","Mukhammadzhon Razhabboev","UZ1-2026-XORAZMUR-008","Xorazm Urganch","FW",""
"cmtr671e5007z33yn6sxd3yhk","Mukhriddin Shamsiddinov","UZ1-2026-MASHALMU-025","Mashal Muborak","FW",""
"cmtr671kd00lv33ynda3zbdld","Mukhriddin Zoirov","UZ1-2026-LOKOMOTI-050","Lokomotiv Tashkent","FW",""
"cmtr671ad000t33ynvy9g2068","Murat Ermatov","UZ1-2026-AGMK-015","AGMK","MF",""
"cmtr671in00h533yn8i1ltncu","Murodzhon Komilov","UZ1-2026-KOKAND19-028","Kokand 1912","FW",""
"cmtr671by003333yn6dhb4a3b","Murotjon Zukhurov","UZ1-2026-BUNYODKO-001","Bunyodkor Tashkent","GK",""
"cmtr671ia00g333yn0hr8qams","Muzaffar Abdullayev","UZ1-2026-KOKAND19-005","Kokand 1912","GK",""
"cmtr671fo00bb33yn1ftb45mm","Muzaffar Muminov","UZ1-2026-NAVBAHOR-021","Navbahor Namangan","MF",""
"cmtr671fz00bx33ynzvhajnyn","Navrozbek Iminjonov","UZ1-2026-NAVBAHOR-032","Navbahor Namangan","FW",""
"cmtr671cx005d33yndnqmfhlh","Nodir Sanokulov","UZ1-2026-DINAMOSA-006","Dinamo Samarkand","DF",""
"cmtr671cr004x33yn92kz3vkd","Nordin Kamolov","UZ1-2026-BUNYODKO-035","Bunyodkor Tashkent","FW",""
"cmtr671cg004933ynsvtfqh3c","Nuridin Xasanov","UZ1-2026-BUNYODKO-022","Bunyodkor Tashkent","MF",""
"cmtr671fq00bf33yn539hwauc","Nurmuhammad Toshpulatov","UZ1-2026-NAVBAHOR-023","Navbahor Namangan","MF",""
"cmtr671c7003n33ynitct6qvr","Obid Djurabayev","UZ1-2026-BUNYODKO-011","Bunyodkor Tashkent","DF",""
"cmtr671e6008333yn3kpjcebi","Oleksandr Vorobey","UZ1-2026-NASAFQAR-001","Nasaf Qarshi","GK",""
"cmtr671i200fj33ynx3evrwno","Olim Navkarov","UZ1-2026-QIZILQUM-013","Qizilqum Zarafshon","FW",""
"cmtr671dr006x33ynn7lwbiqi","Rashid Abubakar","UZ1-2026-MASHALMU-005","Mashal Muborak","MF",""
"cmtr671do006p33yn8y8cj858","Roman Khadzhiev","UZ1-2026-MASHALMU-001","Mashal Muborak","DF",""
"cmtr671hp00eh33yn3c7jknn5","Saidumarkhon Saidnurullayev","UZ1-2026-PAKHTAKO-024","Pakhtakor Tashkent","FW",""
"cmtr671c1003933yniw89xuto","Sakhob Jurayev","UZ1-2026-BUNYODKO-004","Bunyodkor Tashkent","DF",""
"cmtr671kd00lt33ynp0v20lxu","Salamat Kutybaev","UZ1-2026-LOKOMOTI-049","Lokomotiv Tashkent","FW",""
