seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671hs00ep33ynrw3x3k3e","Abbos Ergashboev","UZ1-2026-PAKHTAKO-028","Pakhtakor Tashkent","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671dv007933yneay5fec0","Abbos Shodmonov","UZ1-2026-MASHALMU-011","Mashal Muborak","MF","","Abbos Otakhonov","318061","Xorazm Urganch","0.643","false","false","false","Abbos Gulomov","650354","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k900lh33yn40rk5jdn","Abdul Aziz Yusupov","UZ1-2026-LOKOMOTI-043","Lokomotiv Tashkent","FW","","Utkir Yusupov","311958","Navbahor Namangan","0.563","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671eb008f33yn7koxxljv","Adkhamjon Musulmonov","UZ1-2026-NASAFQAR-007","Nasaf Qarshi","GK","","Davronbek Usmonov","1383135","Nasaf Qarshi","0.556","true","false","false","Azamjon Temirkhonov","1522798","AMBIGUOUS"
"cmtr671d0005j33yn9vkh4as2","Akbar Abdirasulov","UZ1-2026-DINAMOSA-009","Dinamo Samarkand","DF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ay001p33yneg7h3wrw","Akmal Holmatov","UZ1-2026-ANDIJON-004","Andijon","MF","","Diyor Kholmatov","704546","Navbahor Namangan","0.615","false","true","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671c2003d33yn9435s81v","Akmal Shorakhmedov","UZ1-2026-BUNYODKO-006","Bunyodkor Tashkent","DF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671dz007j33yn9dwqxmb1","Akram Bahriddinov","UZ1-2026-MASHALMU-016","Mashal Muborak","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr6719y000733ynr7uk2dvb","Akramjon Komilov","UZ1-2026-AGMK-004","AGMK","DF","","Akramzhon Komilov","288933","Nasaf Qarshi","0.875","false","true","false","Abdurakhmon Komilov","914670","AMBIGUOUS"
"cmtr671h300db33ynezrbina6","Albert Nurullayev","UZ1-2026-NEFTCHIF-035","Neftchi Fergana","FW","","Akbar Turaev","185373","Neftchi Fergana","0.563","true","false","false","Sukhrob Nurullaev","355876","AMBIGUOUS"
