playerId,name,tmPlayerId,tmUrl,hasValidTmIdentity,clubName,tmClubId,competitionName,competitionTmId,mainPosition,positionGroup,secondaryPositions,rolePresent,preferredFoot,footPresent,portraitUrl,photoPresent,performanceCount,current2026Uz1PerformancePresent,performanceLastSyncedAt,sportingPresent,contractExpires,contractOption,contractPresent,teamPresent,birthDate,age,agePresent,profileLastSyncedAt,preferredFootSyncedAt,profileEverSynced,coverageCount,coveragePct,missingFields,coverageBucket
"cmtr8zqmh000tv7yn2df2t85t","Abbos Gulomov","650354","https://www.transfermarkt.com/abbos-gulomov/profil/spieler/650354","true","Nasaf Qarshi","20591","Uzbekistan Super League","UZ1","Attack - Right Winger","WINGER","[""Left Winger"",""Attacking Midfield""]","true","LEFT","true","https://img.a.transfermarkt.technology/portrait/header/650354-1745324838.png?lm=4711","true","0","false","","false","2026-12-31T00:00:00.000Z","","true","true","1998-07-05T00:00:00.000Z","28","true","2026-09-08T13:45:15.938Z","2026-09-08T13:45:16.403Z","true","5","83.3","SPORTING","C"
"cmtr8zr4r008iv7ynctvg49eh","Abbos Otakhonov","318061","https://www.transfermarkt.com/abbos-otakhonov/profil/spieler/318061","true","Xorazm FС","38976","Uzbekistan Super League","UZ1","Defender - Centre-Back","CB","[""Right-Back""]","true","RIGHT","true","https://img.a.transfermarkt.technology/portrait/header/318061-1777790159.png?lm=4711","true","0","false","","false","2027-12-31T00:00:00.000Z","","true","true","1995-08-25T00:00:00.000Z","31","true","2026-09-09T01:52:01.519Z","2026-09-09T01:52:01.611Z","true","5","83.3","SPORTING","C"
"cmtr8zqye005cv7ynqofzje2e","Abbosbek Abdugafforov","1409429","https://www.transfermarkt.com/abbosbek-abdugafforov/profil/spieler/1409429","true","Qizilqum","20115","Uzbekistan Super League","UZ1","","UNKNOWN","","false","UNKNOWN","false","","false","1","true","2026-09-07T19:19:18.058Z","true","","","false","true","","","false","","","false","2","33.3","ROLE|FOOT|PHOTO|CONTRACT","A"
"cmtr8zqpe001gv7yn4g7s3cbt","Abdugafur Khaydarov","1030001","https://www.transfermarkt.com/abdugafur-khaydarov/profil/spieler/1030001","true","Dinamo","15300","Uzbekistan Super League","UZ1","Attack - Centre-Forward","ST","[""Left Winger"",""Right Winger""]","true","LEFT","true","https://img.a.transfermarkt.technology/portrait/header/1030001-1745337686.png?lm=4711","true","3","true","2026-09-07T18:55:57.248Z","true","2026-12-31T00:00:00.000Z","","true","true","2005-02-16T00:00:00.000Z","21","true","2026-09-08T13:48:21.127Z","2026-09-08T13:48:21.313Z","true","6","100.0","","D"
"cmtr8zqrh0020v7ynlgnw2ilu","Abdulakhadjon Khoshimov","1257476","https://www.transfermarkt.com/abdulakhadjon-khoshimov/profil/spieler/1257476","true","Dinamo","15300","Uzbekistan Super League","UZ1","Midfield - Right Midfield","WINGER","[""Left Midfield""]","true","UNKNOWN","false","https://img.a.transfermarkt.technology/portrait/header/1257476-1745339641.png?lm=4711","true","2","true","2026-09-07T19:07:29.421Z","true","2026-11-30T00:00:00.000Z","","true","true","2006-01-14T00:00:00.000Z","20","true","2026-09-08T13:50:43.094Z","2026-09-08T13:50:43.178Z","true","5","83.3","FOOT","C"
"cmtr8zqwx004hv7ynj99iex1o","Abdulazizkhon Abdurashidov","846418","https://www.transfermarkt.com/abdulazizkhon-abdurashidov/profil/spieler/846418","true","Sogdiana","35157","Uzbekistan Super League","UZ1","Attack - Right Winger","WINGER","[""Right-Back"",""Left Winger""]","true","RIGHT","true","https://img.a.transfermarkt.technology/portrait/header/846418-1726738613.png?lm=4711","true","0","false","","false","2026-12-31T00:00:00.000Z","","true","true","2000-07-10T00:00:00.000Z","26","true","2026-09-09T01:52:07.051Z","2026-09-09T01:52:07.143Z","true","5","83.3","SPORTING","C"
"cmtr8zqti002qv7ynuygdrz4w","Abdulkodir Mirfayziev","1546836","https://www.transfermarkt.com/abdulkodir-mirfayziev/profil/spieler/1546836","true","Bunyodkor","19401","Uzbekistan Super League","UZ1","Midfield - Central Midfield","UNKNOWN","","true","UNKNOWN","false","","false","1","true","2026-09-07T19:20:53.893Z","true","","","false","true","2008-08-12T00:00:00.000Z","","true","","","false","3","50.0","FOOT|PHOTO|CONTRACT","A"
"cmtqan49t00145ryn9wgf6h5h","Abdulla Abdullaev","570272","https://www.transfermarkt.com/abdulla-abdullaev/profil/spieler/570272","true","Neftchi","13306","Uzbekistan Super League","UZ1","Midfield - Defensive Midfield","DM","[""Centre-Back"",""Central Midfield""]","true","RIGHT","true","https://img.a.transfermarkt.technology/portrait/header/570272-1745332711.png?lm=4711","true","0","false","","false","2026-12-31T00:00:00.000Z","","true","true","1997-09-01T00:00:00.000Z","29","true","2026-09-08T13:40:05.767Z","2026-09-08T13:40:05.832Z","true","5","83.3","SPORTING","C"
"cmtr8zr7t00a8v7yn97xh25zd","Abdullokh Yuldashev","1007109","https://www.transfermarkt.com/abdullokh-yuldashev/profil/spieler/1007109","true","Loko Tashkent","15309","Uzbekistan Super League","UZ1","","UNKNOWN","","false","UNKNOWN","false","","false","2","true","2026-09-07T18:55:46.618Z","true","","","false","true","","","false","","","false","2","33.3","ROLE|FOOT|PHOTO|CONTRACT","A"
"cmtr8zqsb002dv7yn1xp8n0fq","Abdumavlon Abdujalilov","189618","https://www.transfermarkt.com/abdumavlon-abdujalilov/profil/spieler/189618","true","Bunyodkor","19401","Uzbekistan Super League","UZ1","Goalkeeper","GK","","true","RIGHT","true","","false","1","true","2026-09-07T19:21:33.876Z","true","2026-12-31T00:00:00.000Z","","true","true","1994-12-22T00:00:00.000Z","","true","","","false","5","83.3","PHOTO","C"
